=== CartPole Q-Learning Training ===
Experiment: low_discount
Configuration:
  ALPHA: 0.1
  GAMMA: 0.8
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 10000
  BUCKETS: (3, 3, 6, 6)
Start time: 2026-01-18 19:03:17

Episode    0 | Reward:   19.0 | Avg(100):  19.00 | Epsilon: 0.9950
Episode 9300 | Reward:   77.0 | Avg(100): 154.03 | Epsilon: 0.0100
Episode 9400 | Reward:  185.0 | Avg(100): 159.24 | Epsilon: 0.0100
Episode 9500 | Reward:  172.0 | Avg(100): 148.64 | Epsilon: 0.0100
Episode 9600 | Reward:  173.0 | Avg(100): 156.77 | Epsilon: 0.0100
Episode 9700 | Reward:  116.0 | Avg(100): 146.22 | Epsilon: 0.0100
Episode 9800 | Reward:  186.0 | Avg(100): 144.47 | Epsilon: 0.0100
Episode 9900 | Reward:  205.0 | Avg(100): 149.97 | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): 144.02
Maximum reward achieved: 500.00
End time: 2026-01-18 19:04:16
