=== MountainCar Q-Learning Training ===
Experiment: fine_discretization
Configuration:
  ALPHA: 0.1
  GAMMA: 0.99
  EPSILON: 1.0
  EPSILON_DECAY: 0.995
  EPISODES: 12000
  BUCKETS: (30, 30)
Start time: 2026-01-18 18:59:33

Episode 8400 | Reward: -179.0 | Avg(100): -161.56 | Success: 51.2% | Epsilon: 0.0100
Episode 8500 | Reward: -160.0 | Avg(100): -156.52 | Success: 51.7% | Epsilon: 0.0100
Episode 8600 | Reward: -161.0 | Avg(100): -144.79 | Success: 52.2% | Epsilon: 0.0100
Episode 8700 | Reward: -116.0 | Avg(100): -141.81 | Success: 52.8% | Epsilon: 0.0100
Episode 8800 | Reward: -116.0 | Avg(100): -139.48 | Success: 53.3% | Epsilon: 0.0100
Episode 8900 | Reward: -150.0 | Avg(100): -143.69 | Success: 53.8% | Epsilon: 0.0100
Episode 9000 | Reward: -148.0 | Avg(100): -139.81 | Success: 54.3% | Epsilon: 0.0100
Episode 9100 | Reward: -116.0 | Avg(100): -137.41 | Success: 54.8% | Epsilon: 0.0100
Episode 9200 | Reward: -156.0 | Avg(100): -139.81 | Success: 55.3% | Epsilon: 0.0100
Episode 9300 | Reward: -117.0 | Avg(100): -140.22 | Success: 55.8% | Epsilon: 0.0100
Episode 9400 | Reward: -181.0 | Avg(100): -142.19 | Success: 56.3% | Epsilon: 0.0100
Episode 9500 | Reward: -151.0 | Avg(100): -147.96 | Success: 56.7% | Epsilon: 0.0100
Episode 9600 | Reward: -163.0 | Avg(100): -147.11 | Success: 57.2% | Epsilon: 0.0100
Episode 9700 | Reward: -145.0 | Avg(100): -151.36 | Success: 57.6% | Epsilon: 0.0100
Episode 9800 | Reward: -112.0 | Avg(100): -148.02 | Success: 58.0% | Epsilon: 0.0100
Episode 9900 | Reward: -118.0 | Avg(100): -148.79 | Success: 58.5% | Epsilon: 0.0100
Episode 10000 | Reward: -163.0 | Avg(100): -151.24 | Success: 58.8% | Epsilon: 0.0100
Episode 10100 | Reward: -146.0 | Avg(100): -164.07 | Success: 59.1% | Epsilon: 0.0100
Episode 10200 | Reward: -190.0 | Avg(100): -161.71 | Success: 59.4% | Epsilon: 0.0100
Episode 10300 | Reward: -149.0 | Avg(100): -149.89 | Success: 59.8% | Epsilon: 0.0100
Episode 10400 | Reward: -123.0 | Avg(100): -139.07 | Success: 60.1% | Epsilon: 0.0100
Episode 10500 | Reward: -123.0 | Avg(100): -133.78 | Success: 60.5% | Epsilon: 0.0100
Episode 10600 | Reward: -128.0 | Avg(100): -138.31 | Success: 60.9% | Epsilon: 0.0100
Episode 10700 | Reward:  -91.0 | Avg(100): -138.07 | Success: 61.2% | Epsilon: 0.0100
Episode 10800 | Reward: -160.0 | Avg(100): -137.63 | Success: 61.6% | Epsilon: 0.0100
Episode 10900 | Reward: -175.0 | Avg(100): -140.96 | Success: 61.9% | Epsilon: 0.0100
Episode 11000 | Reward: -144.0 | Avg(100): -161.05 | Success: 62.1% | Epsilon: 0.0100
Episode 11100 | Reward: -184.0 | Avg(100): -163.16 | Success: 62.5% | Epsilon: 0.0100
Episode 11200 | Reward: -146.0 | Avg(100): -165.85 | Success: 62.8% | Epsilon: 0.0100
Episode 11300 | Reward: -191.0 | Avg(100): -167.13 | Success: 63.1% | Epsilon: 0.0100
Episode 11400 | Reward: -145.0 | Avg(100): -170.51 | Success: 63.3% | Epsilon: 0.0100
Episode 11500 | Reward: -197.0 | Avg(100): -172.29 | Success: 63.5% | Epsilon: 0.0100
Episode 11600 | Reward: -200.0 | Avg(100): -170.22 | Success: 63.7% | Epsilon: 0.0100
Episode 11700 | Reward: -155.0 | Avg(100): -164.79 | Success: 63.9% | Epsilon: 0.0100
Episode 11800 | Reward: -184.0 | Avg(100): -164.66 | Success: 64.2% | Epsilon: 0.0100
Episode 11900 | Reward: -185.0 | Avg(100): -159.09 | Success: 64.5% | Epsilon: 0.0100

=== Training Complete ===
Final average reward (last 100 episodes): -164.71
Maximum reward achieved: -88.00
Overall success rate: 64.72%
Average steps (last 100): 164.71
Training time: 69.46 seconds
End time: 2026-01-18 19:00:42
